city_id,city,lat_city,lon_city,avg_weather,avg_temp,avg_clouds,avg_wind,avg_humidity,avg_rain,avg_pop
1,Mont Saint Michel,48.6359541,-1.511459954959514,Rain,5.668,82.6,7.708000000000001,87.0,0.446,0.528
2,St Malo,48.649518,-2.0260409,Rain,6.324,84.0,8.852,84.0,0.524,0.546
3,Bayeux,49.2764624,-0.7024738,Rain,5.518,71.2,6.991999999999999,88.8,0.8320000000000001,0.616
4,Le Havre,49.4938975,0.1079732,Rain,7.252000000000001,74.2,9.022000000000002,82.0,0.806,0.6459999999999999
5,Rouen,49.4404591,1.0939658,Rain,5.517999999999999,80.2,6.327999999999999,87.6,0.5900000000000001,0.5280000000000001
6,Paris,48.8588897,2.3200410217200766,Rain,6.8740000000000006,93.8,5.798,77.6,1.268,0.664
7,Amiens,49.8941708,2.2956951,Rain,5.94,87.8,6.220000000000001,86.8,0.752,0.6219999999999999
8,Lille,50.6365654,3.0635282,Rain,5.448,93.8,6.932,83.0,1.536,0.602
9,Strasbourg,48.584614,7.7507127,Clouds,5.882,77.4,4.143999999999999,80.8,0.47800000000000004,0.41
10,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,Clouds,2.034,79.0,3.3200000000000003,86.4,0.86,0.508
11,Colmar,48.0777517,7.3579641,Rain,5.362,78.6,3.8480000000000003,85.0,1.158,0.558
12,Eguisheim,48.0447968,7.3079618,Rain,5.314,79.4,3.6759999999999997,85.8,1.386,0.526
13,Besancon,47.2380222,6.0243622,Rain,5.754,87.2,5.712,83.8,1.6179999999999999,0.602
14,Dijon,47.3215806,5.0414701,Rain,5.084,98.8,7.052,87.6,0.6140000000000001,0.514
15,Annecy,45.8992348,6.1288847,Rain,3.9539999999999997,93.0,2.506,95.6,2.152,0.768
16,Grenoble,45.1875602,5.7357819,Rain,5.836,84.6,2.262,92.4,0.874,0.734
17,Lyon,45.7578137,4.8320114,Rain,6.909999999999999,100.0,4.696,73.6,1.6640000000000001,0.548
18,Gorges du Verdon,43.7496562,6.3285616,Rain,2.4219999999999997,70.6,2.1279999999999997,93.2,0.442,0.442
19,Bormes les Mimosas,43.1506968,6.3419285,Rain,10.280000000000001,63.6,5.37,75.8,0.48599999999999993,0.388
20,Cassis,43.2140359,5.5396318,Rain,11.072,64.8,5.5280000000000005,75.2,0.348,0.32
21,Marseille,43.2961743,5.3699525,Clouds,11.24,63.0,5.642,73.2,0.25,0.292
22,Aix en Provence,43.5298424,5.4474738,Clouds,8.040000000000001,64.2,3.224,79.0,0.176,0.332
23,Avignon,43.9492493,4.8059012,Clouds,8.43,89.8,4.36,75.8,0.392,0.322
24,Uzes,44.0121279,4.4196718,Clouds,7.454000000000001,94.2,4.619999999999999,74.0,0.386,0.316
25,Nimes,43.8374249,4.3600687,Clouds,8.45,95.6,5.134,71.0,0.296,0.26399999999999996
26,Aigues Mortes,43.5661521,4.19154,Clouds,10.157999999999998,91.0,5.956,68.0,0.118,0.194
27,Saintes Maries de la mer,43.4515922,4.4277202,Clouds,10.652,81.6,7.019999999999999,71.0,0.13,0.194
28,Collioure,42.52505,3.0831554,Clouds,8.358,69.8,3.846,77.4,0.242,0.22400000000000003
29,Carcassonne,43.2130358,2.3491069,Rain,6.87,91.6,6.552,82.4,0.706,0.48599999999999993
30,Ariege,42.9927428,1.6124975,Rain,5.8340000000000005,96.6,2.742,86.0,1.088,0.63
31,Toulouse,43.6044622,1.4442469,Rain,6.434,99.4,5.646,85.2,1.036,0.6980000000000001
32,Montauban,44.0175835,1.3549991,Rain,6.368,99.6,5.739999999999999,89.4,1.6939999999999997,0.834
33,Biarritz,43.4832523,-1.5592776,Rain,9.294,99.8,7.9719999999999995,76.4,2.754,0.828
34,Bayonne,43.4945144,-1.4736657,Rain,8.984,99.6,6.962000000000001,78.0,2.904,0.834
35,La Rochelle,46.1591126,-1.1520434,Rain,8.214,75.2,10.422,75.6,0.78,0.674
